strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Fujian/BD-VIR-SPE-0747/2021	EPI_ISL_15775783		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Fujian/KT-VIR-SPE-0045/2021	EPI_ISL_15775902		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Fujian/KT-VIR-SPE-0041/2021	EPI_ISL_15775898		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Fujian/BD-VIR-SPE-0772/2021	EPI_ISL_15775803		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/India/MP-NCDC-410924/2021	EPI_ISL_4462549		National Centre for Disease Control (NCDC) Biotechnology Division, Delhi - INSACOG	NCDC Delhi, Biotechnology Division -INSACOG	Mahesh S Dhar et al
hCoV-19/Pakistan/AKU-S2/2021	EPI_ISL_10774003		Department of Pathology and Laboratory Medicine, AKUH Laboratories, Karachi, Pakistan	Department of Pathology and Laboratory Medicine, AKUH Laboratories, Karachi, Pakistan	A.R. Bukhari et al
hCoV-19/SaudiArabia/KFSHRC_011S/2021	EPI_ISL_6595152		Molecular Virology section, department of infection & immunity, KFSHRC	Molecular Virology section, department of infection & immunity, KFSHRC	Fatimah S. Alhamlan et al
hCoV-19/Indonesia/KR-GS-FKUINIHRD-0010/2021	EPI_ISL_6959886		BBTKL PP Kelas 1 Batam	Faculty of Medicine, Universitas Indonesia	Fadilah et al
hCoV-19/Indonesia/BA-NIHRD-WGS14849/2021	EPI_ISL_8576270		RSUP Sanglah	National Institute of Health Research and Development	Kartika Dewi Puspa et al
hCoV-19/Malaysia/UNIMAS-B12175/2021	EPI_ISL_7472916		Borneo Medical Centre (Kuching)	Institute of Health and Community Medicine	Chan Chia Jui et al
hCoV-19/Fujian/2021BD-VIR-SPE-0592/2021	EPI_ISL_15756982		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/India/TN-CBR-SEQ-7952/2021	EPI_ISL_9361659		CBR,IISc	CBR,IISc-INSACOG	Bratati Kahali et al
hCoV-19/India/TN-C_39_S2_R1_001/2021	EPI_ISL_2379589		Dr S Raju, Director of Public Heath and Preventive Medicine	inStem NCBS - INSACOG	Uma Ramakrishnan Dasaradhi Palakodeti Aswin SaiNarain et al
hCoV-19/India/KA-SLS-6342/2021	EPI_ISL_11767482			Strand Life Sciences (supported by IN COVID Support, FZE LLC)	Priyanka Ananta Mulay et al
hCoV-19/India/AP-CCMB-CIA5500/2021	EPI_ISL_3060515		AP SSO	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Payel Mukherjee et al
hCoV-19/India/RJ-IGIB-C_233756/2021	EPI_ISL_2879907		INSACOG Surveillance	INSACOG at CSIR Institute of Genomics and Integrative Biology	INSACOG et al
hCoV-19/Mexico/BCN_InDRE_FB30681_S6380/2021	EPI_ISL_4199547		LESP Baja California	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/BCN-SEARCH-116656/2021	EPI_ISL_10280663		Salud Digna, A.C	Andersen lab at Scripps Research	SEARCH Alliance with Abraham Campos Romero et al
hCoV-19/Fujian/2021BD-VIR-SPE-0414/2021	EPI_ISL_2965604		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Nepal/EPN-K2111/2021	EPI_ISL_12956298		Koshi Hospital	Center for Molecular Dynamics Nepal	Epidemic Intelligence Team et al
hCoV-19/Shenzhen/IVDC-0610-02/2021	EPI_ISL_2931277		Shenzhen Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Long Chen et al
hCoV-19/Zimbabwe/CERI-KRISP-K021551/2021	EPI_ISL_3730479		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Montenegro/CO-00421_MNE000_2921642102/2021	EPI_ISL_5104538		Laboratory for Molecular Diagnostics, IPHMN	Jakob-Stadler-Platz 7, 78467 Konstanz, Germany	Danijela Vujošević et al
hCoV-19/Germany/SH-RKI-I-379130/2021	EPI_ISL_7765496		LADR Zentrallabor DR. Kramer & Kollegen Geesthacht	Robert Koch Institute	?
hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5038/2021	EPI_ISL_3533005		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Potdar et al B
hCoV-19/Italy/VEN-IZSVe-21RS8087-3_PD/2021	EPI_ISL_3987980		AULSS 6 Euganea	Istituto Zooprofilattico Sperimentale delle Venezie	Adelaide Milani et al
hCoV-19/SouthKorea/KDCA17196/2021	EPI_ISL_6748888		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SierraLeone/CPHRL-22/2021	EPI_ISL_4635451		Connaught Hospital Laboratory	Central Public Health Reference Laboratory	Doris Harding et al
hCoV-19/India/JK-NCDC-450946/2021	EPI_ISL_4460909		National Centre for Disease Control (NCDC) Biotechnology Division, Delhi - INSACOG	NCDC Delhi, Biotechnology Division -INSACOG	Kalaiarasan Ponnusamy et al
hCoV-19/Yunnan/RLD203/2021	EPI_ISL_13008954		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/RLD259/2021	EPI_ISL_13008972		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/RLD81/2021	EPI_ISL_13008862		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/RLD49/2021	EPI_ISL_13008845		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/YN-20/2021	EPI_ISL_2863933		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/YN-25/2021	EPI_ISL_2893774		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Benin/MTMC_35_126/2021	EPI_ISL_17425673		Centre Hospitalier et Universitaire de Zone Abomey-Calavi	Molecular Malaria Laboratory, Mahidol Oxford Tropical Medicine Research Unit	Aurel Allabi et al
hCoV-19/Chad/20220316_49670/2021	EPI_ISL_18731709		Department of Laboratories, Ministry of Public Health, Chad	Department of Laboratories, Ministry of Public Health, Chad	Mathiew Hota et al
hCoV-19/Yunnan/RLD215/2021	EPI_ISL_13008964		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/RLD119/2021	EPI_ISL_13008898		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Yunnan/RLD147/2021	EPI_ISL_13008917		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Myanmar/DSMRC041/2021	EPI_ISL_7337873	OL757803.1	DSMRC	DSMRC	Khine Zaw Oo et al
hCoV-19/Myanmar/DSMRC044/2021	EPI_ISL_7338111	OL757802.1	DSMRC	DSMRC	Khine Zaw Oo et al
hCoV-19/Turkey/HSGM-DX2075/2021	EPI_ISL_3584598		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A
hCoV-19/Chad/TCH-31/2021	EPI_ISL_9274868		Ministère de Santé Publique et de la Solidarité Nationale	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Ethiopia/CERI-KRISP-K025761/2021	EPI_ISL_5425699		Addis Ababa University	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Abay Sisay et al
hCoV-19/Ethiopia/CERI-KRISP-K025833/2021	EPI_ISL_5425676		Addis Ababa University	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Abay Sisay et al
hCoV-19/India/OR-ILSGS08150/2021	EPI_ISL_7873989		Pandit Raghunath Murmu Medical College, Baripada	Institute of Life Sciences-INSACOG	Sunil K. Raghav et al
hCoV-19/Pakistan/NIH-B154-S23/2021	EPI_ISL_18123248		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Indonesia/JK-NIHRD-WGS12660/2021	EPI_ISL_6816487		PRVKP FKUI	National Institute of Health Research and Development	Vivi Setiawaty et al
hCoV-19/India/KA-5661_S212_R1_001/2021	EPI_ISL_12356545		VRDL, Wenlock District Hospital	inStem NCBS – INSACOG	Uma Ramakrishnan et al
hCoV-19/Algeria/55474/2021	EPI_ISL_15928117		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Mohamed Amine Beloufa et al
hCoV-19/Nigeria/NCDC-NR120/2021	EPI_ISL_3255985		Molecular Diagnostics Laboratory	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/India/WB-1931300435076/2021	EPI_ISL_4193344		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/MN-1425500118931/2021	EPI_ISL_3614504		INSACOG-MANIPUR	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/TG-CCMB-CIA2653/2021	EPI_ISL_2441494		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Payel Mukherjee et al
hCoV-19/India/TG-CCMB-CIA5193/2021	EPI_ISL_2775022		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Sumedha Avadhanula et al
hCoV-19/Morocco/20358732/2021	EPI_ISL_4741170		Medical Virology and BSL3 Laboratory	Centre de Séquençage Génomique	EL Hamouchi Adil et al
hCoV-19/Iraq/Child-31/2021	EPI_ISL_12179269		Biology Department, College of Science, Al Muthanna University and Public Health Laboratory, Al-Muthanna Health Directorate	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Nihad Al-Rashedi et al
hCoV-19/Germany/NI-RKI-I-234846/2021	EPI_ISL_4228436		Niedersächsisches Landesgesundheitsamt (NLGA)	Robert Koch Institute	?
hCoV-19/Iraq/BDCSAU-95/2021	EPI_ISL_12690608		Biology Department, College of Science, Al Muthanna University and Central Public Health Laboratory, Baghdad	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Nihad Al-Rashedi et al
hCoV-19/Jordan/RMSR7S3/2021	EPI_ISL_5134142		Jordan Royal Medical Services Aqaba Molecular Lab	Jordan Royal Medical Services Genomics Core Lab	Dr. Rame Hamdi khasawneh et al
hCoV-19/India/MH-RFIP08823/2021	EPI_ISL_9727068		BJMC	RF-IISER Pune	Krishanpal Karmodiya et al
hCoV-19/UnitedArabEmirates/BTC-6190/2021	EPI_ISL_16815196		Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology	AlSafar et al.
hCoV-19/India/TG-CCMB-CIA7375/2021	EPI_ISL_3689806		Mapmygenome	CSIR-Centre for Cellular and Molecular Biology - INSACOG	Shreekant Verma et al
hCoV-19/India/AP-CCMB-CIB9961/2021	EPI_ISL_8637842		AP SSO	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Sumedha Avadhanula et al
hCoV-19/DRC/INRB-RDC-1401b/2021	EPI_ISL_15689130		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/India/MH-NCCS-2748700561291/2021	EPI_ISL_8803725		National Centre For Cell Science	National Centre For Cell Science – INSACOG	Dhiraj Dhotre et al
hCoV-19/Vietnam/DN2022_03/2022	EPI_ISL_9691646		CDC Đà Nẵng, Vietnam	Department of Microbiology and Immunology, Pasteur Institute in Nha Trang	Trinh Hoang Long et al
hCoV-19/Germany/SH-RKI-I-279263/2021	EPI_ISL_5120960		LADR Zentrallabor DR. Kramer & Kollegen Geesthacht	Robert Koch Institute	?
hCoV-19/Ethiopia/CERI-KRISP-K024741/2021	EPI_ISL_4874924		Addis Ababa University	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Abay Sisay et al
hCoV-19/Ethiopia/CERI-KRISP-K025429/2021	EPI_ISL_5146918		Addis Ababa University	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Abay Sisay et al
hCoV-19/Ethiopia/ET2108135/2021	EPI_ISL_6266292		Ethiopian Public Health Institute	EPHI Pathogen Genomic Sequence Lab	Atsbeha G Weldemariam et al
hCoV-19/Ethiopia/EPHI-481-08/2022	EPI_ISL_19147641		Ethiopian Public Health Institute, AHRI	Ethiopian Public Health Institute, AHRI	Hailu et al
hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-305/2021	EPI_ISL_10127732		SMS MEDICAL COLLEGE,JAIPUR	NIV Influenza	Bharti Malhotra et al
hCoV-19/Chile/LI-155870/2021	EPI_ISL_5010978		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Egypt/Delta006/2021	EPI_ISL_4629982		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed G Seadawy et al
hCoV-19/Brazil/SP-IB_21_127606/2021	EPI_ISL_16371109		BIOFAST	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Mauritania/IPM-88/2021	EPI_ISL_19268862		Faculté des Sciences et Techniques - Université de Nouakchott, Unité d`Épidémiologie Moléculaire et Diversité des Micro-organismes.	Institut Pasteur du Maroc, Centre de Séquençage Génomique	EL Hamouchi Adil et al
hCoV-19/India/NL-IBSD-KHM-P2-351/2021	EPI_ISL_11804095		Naga Hospital Authority,Kohima	INSACOG-IBSD Manipur	Dr. Nanaocha Sharma et al
hCoV-19/Chad/TCH-23/2021	EPI_ISL_9274862		Ministère de Santé Publique et de la Solidarité Nationale	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/India/AR-CSIR-NEIST-INSACOG-NEIST14-CID0116/2021	EPI_ISL_6887169		Department of Microbiology, TRIHMS	Centre for Infectious Diseases, CSIR-NEIST	Romi Wahengbam et al
hCoV-19/USA/NC-ECU-111139917/2021	EPI_ISL_8507451		Molecular Biology Laboratory, Vidant Medical Center	Brody Integrative Genomics Core, East Carolina University	Weihua Huang et al
hCoV-19/NewZealand/22MV0146/2021	EPI_ISL_8648594		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al
hCoV-19/Australia/QLD-NSW-2239/2021	EPI_ISL_3417533		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Chenwei Wang on behalf of Q-PHIRE Genomics et al
hCoV-19/Bangladesh/CHRF-GSB07-043/2021	EPI_ISL_6102156		Sylhet MAG Osmani Medical College, Sylhet	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
hCoV-19/India/RJ-SMS-ICMR-INSACOG-TS-1020/2021	EPI_ISL_11886441		SMS MEDICAL COLLEGE,JAIPUR	NIV Influenza	Bharti Malhotra et al
hCoV-19/India/AP-CCMB-CIB8059/2021	EPI_ISL_8421275		AP SSO	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Malini Nemalikanti et al
hCoV-19/Pakistan/NIH-B137-S16/2021	EPI_ISL_17833772		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Pakistan/NIH-B21-S3/2021	EPI_ISL_5427742		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/China/ZCMU-S192-2034-338610/2021	EPI_ISL_19166414		Hangzhou Xixi Hospital, Zhejiang University of Traditional Chinese Medicine	Hangzhou Xixi Hospital, Zhejiang University of Traditional Chinese Medicine	Wang et al
hCoV-19/Pakistan/NIH-B21-S10/2021	EPI_ISL_5427747		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Chad/20220316_49744/2021	EPI_ISL_18731712		Department of Laboratories, Ministry of Public Health, Chad	Department of Laboratories, Ministry of Public Health, Chad	Mathiew Hota et al
hCoV-19/Bangladesh/ideSHi-076/2021	EPI_ISL_18875528		Genomics and Bioinformatics, Institute for Developing Science and Health initiatives	Genomics and Bioinformatics, Institute for Developing Science and Health initiatives	Kawser et al
hCoV-19/DRC/INRB-DRC-0545/2021	EPI_ISL_17976335		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Uganda/MRC-UVRI-UVRI403718/2021	EPI_ISL_8523904		MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit, Uganda Virus Research Institute	Deogratius Ssemwanga et al
hCoV-19/Somalia/barcode70/2021	EPI_ISL_14240399		National Public Health Lab- Mogadishu	National Public Health Lab- Mogadishu	Sahra Mohamed et al
hCoV-19/India/RJ-IGIB-0811700363417/2021	EPI_ISL_2880648		INSACOG Surveillance	INSACOG at CSIR Institute of Genomics and Integrative Biology	INSACOG et al
hCoV-19/Beijing/BJCDC-082/2021	EPI_ISL_8582086		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Zhichao liang et al
hCoV-19/Ethiopia/ET2108123/2021	EPI_ISL_6266281		Ethiopian Public Health Institute	EPHI Pathogen Genomic Sequence Lab	Atsbeha G Weldemariam et al
hCoV-19/SouthKorea/KDCA10265/2021	EPI_ISL_3869903		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/Brazil/MG-FIOCRUZ-45272/2021	EPI_ISL_4061284		Laboratorio Central de Saude Publica do Estado de Minas Gerais (LACEN/MG)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/DRC/INRB-RDC-1160/2021	EPI_ISL_15297202		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/SouthSudan/UG1165/2021	EPI_ISL_10512546		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Abe G Abias et al
hCoV-19/DRC/INRB-RDC-1340/2021	EPI_ISL_15297171		Laboratoire Rodolphe Mérieux (INRB Goma)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Brazil/ES-NVBS6159GENOV700940939360/2021	EPI_ISL_6996103	ON579588.1	DASA	DASA	Rodrigo Guarischi et al
hCoV-19/Brazil/MG-FIOCRUZ-AR-295/2021	EPI_ISL_8055836		Fundacao Ezequiel Dias	Instituto Rene Rachou / Fiocruz Minas	on behalf of the Fiocruz COVID-19 Genomic Surveillance Network et al
hCoV-19/Brazil/SP-IB_124771/2021	EPI_ISL_3579439		INSIDE DIAGNÓSTICOS	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Brazil/SP-IB_138151/2021	EPI_ISL_6510514		UNIDADE DE PRONTO ATENDIMENTO DE AGENOR DE CAMPOS	Instituto Butantan	Dimas Tadeu Covas et al
hCoV-19/Brazil/RJ-NVBS6295GENOV828103874874/2021	EPI_ISL_6993079	ON579439.1	DASA	DASA	Rodrigo Guarischi et al
hCoV-19/Brazil/CE-FIOCRUZ-32165CE/2021	EPI_ISL_8748034		HOSPITAL ESTADUAL LEONARDO DA VINCI	Analytical Competence Molecular Epidemiology Lab/ACME, Oswaldo Cruz Foundation, Ceara (FIOCRUZ CE)	Fabio Miyajima et al
hCoV-19/Brazil/RN-FIOCRUZ-58880/2021	EPI_ISL_7456183		Laboratorio Central de Saude Publica do Estado do Rio Grande do Norte (LACEN/RN)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Honduras/1292739/2021	EPI_ISL_4029392		Laboratorio Nacional de Vigilancia de la Salud – Sección de Virologia	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Mitzi Castro et al
hCoV-19/Sudan/ILRI_M03093/2021	EPI_ISL_17971613		Epidemiology Lab, National Public Health	International Livestock Research Institute	Samuel O. Oyola et al
hCoV-19/DRC/ILRI_COVM02206/2021	EPI_ISL_10011347		Molecular Biology laboratory, Université Evangélique en Afrique	International Livestock Research Institute	Samuel O. Oyola et al
hCoV-19/DRC/ILRI_COVM01427/2021	EPI_ISL_9093614		Molecular Biology Laboratory, Universite Evangelique en Afrique	International Livestock Research Institute	Samuel O. Oyola et al
hCoV-19/USA/AZ-ASU20259/2021	EPI_ISL_5932747		Arizona State University	Arizona State University	Ajeet Bains et al
hCoV-19/Mexico/TAB-INMEGEN-29-33/2021	EPI_ISL_4745702		SALUD DIGNA	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/India/KA-INSACOG-CBR-S-8087/2021	EPI_ISL_14677779		CBR,IISc	CBR,IISc-INSACOG	Bratati Kahali et al
hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5497/2021	EPI_ISL_4950424		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Potdar et al B
hCoV-19/India/AP-CCMB-CIB4635/2021	EPI_ISL_7233606		AP SSO	CSIR-Centre for Cellular and Molecular Biology-INSACOG	Priya Nurkurthy et al
hCoV-19/India/TG-CDFD-ST26/2021	EPI_ISL_5815414		District Hospital	CDFD-INSACOG	Murali Bashyam et al
hCoV-19/India/MH-RF-NCL-Pune-NCL-657/2021	EPI_ISL_5798814		BJMC	NCL, Pune	Anu Raghunathan et al
hCoV-19/Tunisia/48857/2021	EPI_ISL_15022533		Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Laboratory of Genetics and hereditary disease, Charles Nicolle Hospital	Sana Ferjani et al
hCoV-19/Tunisia/HAO-38557/2021	EPI_ISL_18584555		Laboratory of microbiology and biochemistry Aziza Othmana Hospital	Laboratory of microbiology and biochemistry Aziza Othmana Hospital, Tunis, Tunisia University of Tunis El Manar LR16SP01, Tunis, Tunisia	Asma Themlaoui et al
hCoV-19/Madagascar/LA2M-177385/2021	EPI_ISL_13729356		Laboratoire d'Analyses Médicales Malagasy (LA2M)	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al
hCoV-19/India/WB-1931501768526/2021	EPI_ISL_3019342		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/TN-CBR-CL1096/2021	EPI_ISL_14593871		CBR,IISc	CBR,IISc	Bratati Kahali et al
hCoV-19/India/WB-1931501961079/2021	EPI_ISL_4193462		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/Philippines/PH-RITM-919/2021	EPI_ISL_9744365		OTHERS - MARINDUQUE PROVINCIAL HEALTH OFFICE	Research Institute for Tropical Medicine	Francisco Gerardo M. Polotan et al
hCoV-19/India/KA-NIMH-SEQ-3456/2021	EPI_ISL_6114217		Mysuru Medical College and Research Institute	INSACOG-KA , NIMHANS	Ellango Ramasamy et al
hCoV-19/Belarus/MA-CRIE-7713246512/2021	EPI_ISL_10314679		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Gasich Elena et al
hCoV-19/Russia/MOW-PMVL-DZ-4133493/2021	EPI_ISL_15858535		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
hCoV-19/Russia/SPE-RII-34449S/2021	EPI_ISL_2385126		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Israel/SMC-7004573/2021	EPI_ISL_3019590		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Estonia/RC0173474/2021	EPI_ISL_6645547		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Armenia/IMB11-12/2021	EPI_ISL_9018786		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Fujian/2021KT-VIR-SPE-0004/2021	EPI_ISL_15756126		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Uzbekistan/370/2021	EPI_ISL_3188980		ZANGIATA INFECTIOUS CLINICAL HOSPITAL №2	Biotechnology laboratory, Center for advanced technology	Alisher Abdullaev et al
hCoV-19/Russia/MOW-PMVL-DZ-36122727399/2022	EPI_ISL_15868096		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
hCoV-19/Russia/MOW-PMVL-DZ-20277062949/2021	EPI_ISL_15886469		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
